dataset,data_layer,metric,time_fs,value
master_results,population_diagonal_production_30ps,population_diagonal_purity,880,0.640095501221
master_results,population_diagonal_production_30ps,population_diagonal_purity,890,0.638097832697
master_results,population_diagonal_production_30ps,population_diagonal_purity,900,0.63611728362
master_results,population_diagonal_production_30ps,population_diagonal_purity,910,0.634153677521
master_results,population_diagonal_production_30ps,population_diagonal_purity,920,0.632206846258
master_results,population_diagonal_production_30ps,population_diagonal_purity,930,0.63027660823
master_results,population_diagonal_production_30ps,population_diagonal_purity,940,0.628362793538
master_results,population_diagonal_production_30ps,population_diagonal_purity,950,0.626465221665
master_results,population_diagonal_production_30ps,population_diagonal_purity,960,0.624583720371
master_results,population_diagonal_production_30ps,population_diagonal_purity,970,0.622718151242
master_results,population_diagonal_production_30ps,population_diagonal_purity,980,0.620868314067
master_results,population_diagonal_production_30ps,population_diagonal_purity,990,0.619034005366
master_results,population_diagonal_production_30ps,population_diagonal_purity,1000,0.617215124248
master_results,population_diagonal_production_30ps,population_diagonal_purity,1010,0.615298036921
master_results,population_diagonal_production_30ps,population_diagonal_purity,1020,0.613058799176
master_results,population_diagonal_production_30ps,population_diagonal_purity,1030,0.610086236312
master_results,population_diagonal_production_30ps,population_diagonal_purity,1040,0.606170233807
master_results,population_diagonal_production_30ps,population_diagonal_purity,1050,0.601579145201
master_results,population_diagonal_production_30ps,population_diagonal_purity,1060,0.596857076017
master_results,population_diagonal_production_30ps,population_diagonal_purity,1070,0.592476682826
master_results,population_diagonal_production_30ps,population_diagonal_purity,1080,0.588656350034
master_results,population_diagonal_production_30ps,population_diagonal_purity,1090,0.585386833914
master_results,population_diagonal_production_30ps,population_diagonal_purity,1100,0.582550056033
master_results,population_diagonal_production_30ps,population_diagonal_purity,1110,0.580018933582
master_results,population_diagonal_production_30ps,population_diagonal_purity,1120,0.577699976746
master_results,population_diagonal_production_30ps,population_diagonal_purity,1130,0.575534092655
master_results,population_diagonal_production_30ps,population_diagonal_purity,1140,0.573484420475
master_results,population_diagonal_production_30ps,population_diagonal_purity,1150,0.571528083477
master_results,population_diagonal_production_30ps,population_diagonal_purity,1160,0.569653000631
master_results,population_diagonal_production_30ps,population_diagonal_purity,1170,0.567854379856
master_results,population_diagonal_production_30ps,population_diagonal_purity,1180,0.566128878866
master_results,population_diagonal_production_30ps,population_diagonal_purity,1190,0.564469604607
master_results,population_diagonal_production_30ps,population_diagonal_purity,1200,0.562865580758
master_results,population_diagonal_production_30ps,population_diagonal_purity,1210,0.561305344486
master_results,population_diagonal_production_30ps,population_diagonal_purity,1220,0.559781061373
master_results,population_diagonal_production_30ps,population_diagonal_purity,1230,0.558289904388
master_results,population_diagonal_production_30ps,population_diagonal_purity,1240,0.556832340231
master_results,population_diagonal_production_30ps,population_diagonal_purity,1250,0.555409226261
master_results,population_diagonal_production_30ps,population_diagonal_purity,1260,0.554019812226
master_results,population_diagonal_production_30ps,population_diagonal_purity,1270,0.552661411375
master_results,population_diagonal_production_30ps,population_diagonal_purity,1280,0.551330246622
master_results,population_diagonal_production_30ps,population_diagonal_purity,1290,0.550022520733
master_results,population_diagonal_production_30ps,population_diagonal_purity,1300,0.548735100369
master_results,population_diagonal_production_30ps,population_diagonal_purity,1310,0.547465688529
master_results,population_diagonal_production_30ps,population_diagonal_purity,1320,0.546212692214
master_results,population_diagonal_production_30ps,population_diagonal_purity,1330,0.544974993921
master_results,population_diagonal_production_30ps,population_diagonal_purity,1340,0.543751758316
master_results,population_diagonal_production_30ps,population_diagonal_purity,1350,0.542542291028
master_results,population_diagonal_production_30ps,population_diagonal_purity,1360,0.541345950065
master_results,population_diagonal_production_30ps,population_diagonal_purity,1370,0.540162102428
master_results,population_diagonal_production_30ps,population_diagonal_purity,1380,0.538990138427
master_results,population_diagonal_production_30ps,population_diagonal_purity,1390,0.537829500974
master_results,population_diagonal_production_30ps,population_diagonal_purity,1400,0.536679718451
master_results,population_diagonal_production_30ps,population_diagonal_purity,1410,0.535540403556
master_results,population_diagonal_production_30ps,population_diagonal_purity,1420,0.534411235788
master_results,population_diagonal_production_30ps,population_diagonal_purity,1430,0.533291925507
master_results,population_diagonal_production_30ps,population_diagonal_purity,1440,0.532182195091
master_results,population_diagonal_production_30ps,population_diagonal_purity,1450,0.5310817665
master_results,population_diagonal_production_30ps,population_diagonal_purity,1460,0.529990370033
master_results,population_diagonal_production_30ps,population_diagonal_purity,1470,0.528907753546
master_results,population_diagonal_production_30ps,population_diagonal_purity,1480,0.527833688251
master_results,population_diagonal_production_30ps,population_diagonal_purity,1490,0.526767972517
master_results,population_diagonal_production_30ps,population_diagonal_purity,1500,0.525710427431
master_results,population_diagonal_production_30ps,population_diagonal_purity,1510,0.524660892756
master_results,population_diagonal_production_30ps,population_diagonal_purity,1520,0.52361922176
master_results,population_diagonal_production_30ps,population_diagonal_purity,1530,0.522585278452
master_results,population_diagonal_production_30ps,population_diagonal_purity,1540,0.521558933639
master_results,population_diagonal_production_30ps,population_diagonal_purity,1550,0.520540066745
master_results,population_diagonal_production_30ps,population_diagonal_purity,1560,0.519528561345
master_results,population_diagonal_production_30ps,population_diagonal_purity,1570,0.518524309577
master_results,population_diagonal_production_30ps,population_diagonal_purity,1580,0.517527206387
master_results,population_diagonal_production_30ps,population_diagonal_purity,1590,0.516537156544
master_results,population_diagonal_production_30ps,population_diagonal_purity,1600,0.515554065871
master_results,population_diagonal_production_30ps,population_diagonal_purity,1610,0.514577847504
master_results,population_diagonal_production_30ps,population_diagonal_purity,1620,0.513608414461
master_results,population_diagonal_production_30ps,population_diagonal_purity,1630,0.51264568795
master_results,population_diagonal_production_30ps,population_diagonal_purity,1640,0.511689587281
master_results,population_diagonal_production_30ps,population_diagonal_purity,1650,0.510740037641
master_results,population_diagonal_production_30ps,population_diagonal_purity,1660,0.50979696531
master_results,population_diagonal_production_30ps,population_diagonal_purity,1670,0.508860300409
master_results,population_diagonal_production_30ps,population_diagonal_purity,1680,0.507929973459
master_results,population_diagonal_production_30ps,population_diagonal_purity,1690,0.507005918674
master_results,population_diagonal_production_30ps,population_diagonal_purity,1700,0.506088071506
master_results,population_diagonal_production_30ps,population_diagonal_purity,1710,0.505176368642
master_results,population_diagonal_production_30ps,population_diagonal_purity,1720,0.504270749122
master_results,population_diagonal_production_30ps,population_diagonal_purity,1730,0.503371152564
master_results,population_diagonal_production_30ps,population_diagonal_purity,1740,0.502477520551
master_results,population_diagonal_production_30ps,population_diagonal_purity,1750,0.501589795009
master_results,population_diagonal_production_30ps,population_diagonal_purity,1760,0.50070792016
master_results,population_diagonal_production_30ps,population_diagonal_purity,1770,0.499831840344
