basis,mode_index,energy_meV,ipr,gamma_over_gamma0
hamiltonian_eigenmode,74,70.0133979549,48.7949441261,0.0712557101956
hamiltonian_eigenmode,75,74.262758398,43.7964343427,0.0426843183941
hamiltonian_eigenmode,76,80.8642225122,60.6388468412,0.0421356269071
hamiltonian_eigenmode,77,96.2707750414,58.0686781441,0.367978107557
hamiltonian_eigenmode,78,102.098030072,59.3562788831,0.484464511392
hamiltonian_eigenmode,79,110.452123805,56.9442637871,0.361191873057
hamiltonian_eigenmode,80,110.540520819,55.9040755989,4.168360322
hamiltonian_eigenmode,81,113.011128261,55.2783184311,39.7412180841
hamiltonian_eigenmode,82,114.880498653,61.55914766,50.863331644
hamiltonian_eigenmode,83,119.462721143,54.6901404715,7.70547686434
hamiltonian_eigenmode,84,132.106930639,61.9175994409,0.0040790610835
hamiltonian_eigenmode,85,132.161303872,59.7249572829,0.0253410811452
hamiltonian_eigenmode,86,133.653651372,62.0865813547,3.78052228535
hamiltonian_eigenmode,87,135.880044165,60.9209869397,3.68790547268
hamiltonian_eigenmode,88,143.297472008,50.7301173826,0.0753991526501
hamiltonian_eigenmode,89,147.885357283,51.8080615778,0.397851404467
hamiltonian_eigenmode,90,152.155876794,79.0260429985,2.49950291735
hamiltonian_eigenmode,91,165.52108771,53.7485699546,0.143555197169
hamiltonian_eigenmode,92,167.104099539,61.4115921921,3.58487198136
hamiltonian_eigenmode,93,167.300439713,58.8182284721,3.13730238341
hamiltonian_eigenmode,94,176.685465127,62.2788209352,0.890347432828
hamiltonian_eigenmode,95,189.614297173,62.9205052298,0.0105213726302
hamiltonian_eigenmode,96,193.713564034,55.4288806732,0.223756814361
hamiltonian_eigenmode,97,201.13146168,67.1315680188,0.419882736462
hamiltonian_eigenmode,98,211.166992284,54.8878690017,0.57122042466
hamiltonian_eigenmode,99,212.467102925,53.5463418374,0.50496293086
hamiltonian_eigenmode,100,221.516218777,53.2232736237,0.138909406131
hamiltonian_eigenmode,101,231.246385374,62.8920403439,0.0106383780093
hamiltonian_eigenmode,102,236.36508821,51.0571367533,0.162456200629
hamiltonian_eigenmode,103,242.63171354,66.8460990238,0.180808356873
hamiltonian_eigenmode,104,259.715923814,46.7240863239,0.492182954626
hamiltonian_eigenmode,105,260.067149583,51.9839824595,0.166513002409
hamiltonian_eigenmode,106,263.86288647,47.0191135298,0.516342983106
