dataset_id,delta_lambda_nm,peak_nm,fwhm_nm,snr,delta_bic,temperature_k,baseline_note,prep_label
pubchem::448799,,,,68,,,,pubchem_pugview
pubchem::448799,,,,009778,,,,pubchem_pugview
pubchem::53379371,,,,2,,,,pubchem_pugview
pubchem::5344,,,,60,,,,pubchem_pugview
pubchem::5344,,,,0,,,,pubchem_pugview
pubchem::5344,,,,77259,,,,pubchem_pugview
pubchem::5344,,,,507791,,,,pubchem_pugview
pubchem::5344,,,,97,,,,pubchem_pugview
pubchem::5344,,,,85,,,,pubchem_pugview
pubchem::5344,,,,2,,,,pubchem_pugview
pubchem::5344,,,,122,,,,pubchem_pugview
pubchem::5344,,,,4,,,,pubchem_pugview
pubchem::5344,,,,63,,,,pubchem_pugview
pubchem::5344,,,,10,,10,,pubchem_pugview
pubchem::5344,,,,10,,,,pubchem_pugview
pubchem::5344,,,,30,,21,,pubchem_pugview
pubchem::5344,,,,30,,21,,pubchem_pugview
pubchem::5344,,,,30,,21,,pubchem_pugview
pubchem::5344,,,,3.1,,,,pubchem_pugview
pubchem::5344,,,,127,,,,pubchem_pugview
pubchem::5344,,,,100,,,,pubchem_pugview
pubchem::5344,,,,100,,,,pubchem_pugview
pubchem::5344,,,,100,,,,pubchem_pugview
pubchem::5344,,,,100,,,,pubchem_pugview
pubchem::5344,,,,5,,,,pubchem_pugview
pubchem::5344,,,,5,,11,,pubchem_pugview
pubchem::5344,,,,0.034,,,,pubchem_pugview
pubchem::5344,,,,48,,,,pubchem_pugview
pubchem::5344,,,,501922,,,,pubchem_pugview
pubchem::5344,,,,416,,,,pubchem_pugview
pubchem::5353431,,,,10,,,,pubchem_pugview
pubchem::5978,,,,6,,,,pubchem_pugview
pubchem::5978,,,,04,,,,pubchem_pugview
pubchem::5978,,,,4,,,,pubchem_pugview
pubchem::5978,,,,5,,,,pubchem_pugview
pubchem::5978,,,,507791,,,,pubchem_pugview
pubchem::5978,,,,0.19,,,,pubchem_pugview
pubchem::5978,,,,2,,,,pubchem_pugview
pubchem::5978,,,,3,,,,pubchem_pugview
pubchem::5978,,,,3,,,,pubchem_pugview
pubchem::5978,,,,19,,,,pubchem_pugview
pubchem::5978,,,,4,,,,pubchem_pugview
pubchem::5978,,,,2006,,,,pubchem_pugview
pubchem::5978,,,,2006,,,,pubchem_pugview
pubchem::5978,,,,2006,,,,pubchem_pugview
pubchem::5978,,,,297,,,,pubchem_pugview
pubchem::5978,,,,49,,100,,pubchem_pugview
