dataset_id,source_file,doi,title,year,technique_tag
crossref::10.70675/bce34549z7072z464dzb7cdzed424a591f36,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.70675/bce34549z7072z464dzb7cdzed424a591f36,Nouveau candidat biomarqueur du cancer du sein triple-négatif métastatique : la syntabuline comme protéine clé du dialogue mitochondrie-microtubule,None,uv-vis
crossref::10.1016/bs.mcb.2016.03.014,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/bs.mcb.2016.03.014,Fluorescence microscopy of actin- and microtubule-associated septins in mammalian cells,2016,fluorescence
crossref::10.1016/b978-0-12-417760-4.50023-9,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/b978-0-12-417760-4.50023-9,Fluorescence Studies of Microtubule Dynamics in Living Cells,1989,fluorescence
crossref::10.1101/074047,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1101/074047,MTQuant: “Seeing” Beyond the Diffraction Limit in Fluorescence Images to Quantify Neuronal Microtubule Organization,2016,fluorescence
crossref::10.1016/b978-0-12-407757-7.00021-9,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/b978-0-12-407757-7.00021-9,Fluorescence-Based Assays for Microtubule Architecture,2013,fluorescence
crossref::10.7554/elife.29303.012,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.7554/elife.29303.012,Figure 4—figure supplement 1. Fluorescence Dissipation After Photoactivation (FDAPA) Representative Curves From Microtubule Stability Measurements.,None,fluorescence
crossref::10.1016/s0091-679x(10)97003-9,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1016/s0091-679x(10)97003-9,The Use of Fluorescence Redistribution After Photobleaching for Analysis of Cellular Microtubule Dynamics,2010,fluorescence
crossref::10.1007/978-1-59745-442-1_6,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1007/978-1-59745-442-1_6,Fluorescence Microscopy of Microtubules in Cultured Cells,2007,fluorescence
crossref::10.1093/oxfordjournals.pcp.a077210,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1093/oxfordjournals.pcp.a077210,Immunofluorescence Microscopy of Microtubule Arrangement in Root Cells of &lt;italic&gt;Pisum sativum&lt;/italic&gt; L. var Alaska,1986,fluorescence
crossref::10.1007/bf00397344,data\raw\public_api\20260425T115542Z\crossref_microtubule_spectroscopy.json,10.1007/bf00397344,Immunofluorescence microscopy of microtubule arrangement in Closterium acerosum (Schrank) Ehrenberg,1985,fluorescence
