group,observable,time_fs,n_points,nc_min,nc_max,n0,logr_mean,logr_q025,logr_q50,logr_q975,r_mean,r_q025,r_q50,r_q975,beta_mean,beta_q025,beta_q50,beta_q975,logA_mean,logA_q50,resid_sd_hat,siglog_median,siglog_max,warning
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,500.0,5,4,8,4,-0.42353172385582727,-0.5192572197678783,-0.4226577401424846,-0.32929310811536566,0.655485271107429,0.5949623101266046,0.655302878721248,0.7194321144765884,0.42353172385582727,0.32929310811536566,0.4226577401424846,0.5192572197678783,-5.577278380406675,-5.577534207566396,0.14387258079698861,0.13986013986013987,0.3952569169960474,
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,500.0,5,4,8,4,-0.7687800681010208,-0.8036202682006219,-0.7687314908567922,-0.7335987200626889,0.46365238550643917,0.4477052138658393,0.4636007773009002,0.48017785135246716,0.7687800681010208,0.7335987200626889,0.7687314908567922,0.8036202682006219,-2.277254818561939,-2.2770905593352264,0.048887488871741124,0.03125,0.18617021276595744,
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,500.0,5,4,8,4,-0.7458914969100687,-0.7868738910038677,-0.7459465478890684,-0.7062356694315615,0.4744093337380417,0.4552657835704879,0.47428515379416003,0.4934983965043206,0.7458914969100687,0.7062356694315615,0.7459465478890684,0.7868738910038677,-2.8563715832137326,-2.856150760548279,0.07347982331811939,0.03875968992248062,0.23923444976076558,
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,500.0,2,5,6,5,-0.6354127105087835,-1.29301460664231,-0.6219080867711165,-0.08241093750108609,0.5559400985638272,0.27444219974323497,0.5369189724806507,0.9208934537987657,0.6354127105087835,0.08241093750108613,0.6219080867711165,1.29301460664231,-4.68655429827596,-4.6893574095631045,nan,0.23136960355300112,0.29880478087649404,two_point_slope_only_no_internal_residual
