parameter,mean,q025,q50,q975
mu_logr,-0.6526943887775551,-0.9653306613226453,-0.6496993987975952,-0.34458917835671343
global_r,0.5263121165338155,0.3808572441560733,0.5222027279378951,0.7085113654901463
global_beta,0.6526943887775551,0.34458917835671343,0.6496993987975952,0.9653306613226453
tau_logr,0.26345521793587173,0.09909819639278558,0.22722645290581164,0.6396893286573149
