parameter,mean,q025,q50,q975
global_r,0.5277425643432493,0.38488541235627066,0.5203745632189238,0.706030958146251
global_beta,0.6501893286573147,0.34809619238476963,0.6532064128256514,0.954809619238477
tau_logr,0.2655938587174349,0.09709619238476955,0.22922845691382768,0.6396392785571143
