group,observable,time_fs,logr_mean,logr_q025,logr_q50,logr_q975,r_mean,r_q025,r_q50,r_q975,beta_mean,beta_q025,beta_q50,beta_q975
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,500.0,-0.42390325897113124,-0.5177905668806829,-0.42396181865220417,-0.3294628832919735,0.6552351997045519,0.5958355535592481,0.6544488692019199,0.7193099831259517,0.42390325897113124,0.3294628832919735,0.42396181865220417,0.5177905668806829
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,500.0,-0.7692363938321067,-0.8043325619866029,-0.7691972491275636,-0.7341606704762615,0.46344054155471587,0.447386429645937,0.46338490168059676,0.4799080910405679,0.7692363938321067,0.7341606704762615,0.7691972491275636,0.8043325619866029
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,500.0,-0.7459507207161147,-0.7861386969836365,-0.7461391682304215,-0.7062077716200346,0.47438178322089025,0.4556006152602215,0.4741938056250997,0.4935121641864945,0.7459507207161147,0.7062077716200346,0.7461391682304215,0.7861386969836365
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,500.0,-0.6282715867607908,-1.2660783091668606,-0.6150317082366872,-0.07354901402118509,0.5593912026147072,0.281935120907123,0.5406237529729787,0.9290906062100188,0.6282715867607908,0.07354901402118509,0.6150317082366872,1.2660783091668604
