group,observable,n_points,raw_logr_mean,raw_logr_se,shrunk_logr_mean,shrunk_logr_q025,shrunk_logr_q50,shrunk_logr_q975,shrunk_r_mean,shrunk_r_q025,shrunk_r_q50,shrunk_r_q975,shrunk_beta_mean,shrunk_beta_q025,shrunk_beta_q50,shrunk_beta_q975,warning
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,5,-0.42353172385582727,0.048050553843827164,-0.4382058621632619,-0.5342679005131377,-0.4380489269105223,-0.345353311776689,0.6459436421426754,0.5860982153285748,0.6452942098337131,0.7079701750795897,0.4382058621632619,0.345353311776689,0.4380489269105223,0.5342679005131377,
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,5,-0.7687800681010208,0.01788461142650051,-0.7678419452557226,-0.8021477390541454,-0.767592462552575,-0.732899079575923,0.464086016267923,0.4483649583418647,0.46412913258292976,0.4805139207661299,0.7678419452557226,0.732899079575923,0.767592462552575,0.8021477390541454,
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,5,-0.7458914969100687,0.020338831423772304,-0.745119295681028,-0.7851328231378807,-0.7451449008600467,-0.7063527713515908,0.47477401243532436,0.4560591225623821,0.47466551552006725,0.4934406102455643,0.745119295681028,0.7063527713515908,0.7451449008600467,0.7851328231378807,
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,2,-0.6354127105087835,0.31666736220080655,-0.6438196197151617,-1.0583200899095742,-0.6447564067512377,-0.24464986620918674,0.5363699986133729,0.3470383145442434,0.5247903620284473,0.7829786577583031,0.6438196197151617,0.24464986620918688,0.6447564067512377,1.0583200899095742,two_point_shrunk_by_global_hierarchy
