group,observable,time_fs,n_points,nc_min,nc_max,n0,logr_mean,logr_q025,logr_q50,logr_q975,r_mean,r_q025,r_q50,r_q975,beta_mean,beta_q025,beta_q50,beta_q975,logA_mean,logA_q50,resid_sd_hat,siglog_median,siglog_max,warning
fragment6dpu_jump_dCoh_max@500fs,jump_dCoh_max,500.0,5,4,8,4,-0.42462390274229345,-0.5177903418961488,-0.4243788331176704,-0.3309955244268182,0.654756360899246,0.5958356876056992,0.6541760114237998,0.7182083834462211,0.42462390274229345,0.3309955244268181,0.4243788331176704,0.5177903418961487,-5.5763987516800855,-5.576296943331627,0.14387258079698861,0.13986013986013987,0.3952569169960474,
fragment6dpu_jump_dFrob_max@500fs,jump_dFrob_max,500.0,5,4,8,4,-0.7690398430965073,-0.8045906148934829,-0.7689390592879481,-0.7336377982362763,0.4635334862169287,0.44727099517828783,0.46350455840069715,0.48015908724258544,0.7690398430965073,0.7336377982362763,0.7689390592879481,0.8045906148934828,-2.2770230101510265,-2.276944911928119,0.048887488871741124,0.03125,0.18617021276595744,
fragment6dpu_jump_dPop_max@500fs,jump_dPop_max,500.0,5,4,8,4,-0.7455331554281682,-0.7858015046758843,-0.7453643449333178,-0.7060927815348434,0.47458052704639575,0.455754266181715,0.474561364409099,0.49356891645045736,0.7455331554281682,0.7060927815348433,0.7453643449333178,0.7858015046758842,-2.856572418056578,-2.856660296335529,0.07347982331811939,0.03875968992248062,0.23923444976076558,
full1jff_jump_dPop_site5@500fs,jump_dPop_site5,500.0,2,5,6,5,-0.6295746805879596,-1.2725905298574827,-0.6154854951448572,-0.08407153201452719,0.558197978755623,0.28010506066233826,0.5403784805963084,0.9193654897247575,0.6295746805879596,0.08407153201452705,0.6154854951448572,1.2725905298574822,-4.687630324609656,-4.689417928866973,nan,0.23136960355300112,0.29880478087649404,two_point_slope_only_no_internal_residual
