parameter,mean,q025,q50,q975
mu_logr,-0.6525420090180362,-0.954809619238477,-0.6532064128256514,-0.34809619238476963
global_r,0.526301367119762,0.38488541235627066,0.5203745632189238,0.706030958146251
global_beta,0.6525420090180362,0.34809619238476963,0.6532064128256514,0.954809619238477
tau_logr,0.2604038635270542,0.09509418837675351,0.22722645290581164,0.62162124248497
